Size	P1	P2	P3	P4
1000	338219.53	257093.02	384493.53	160156.72
2000	197165.8	181058.14	341864.03	134003.2
3000	153510.05	127767.28	231900.22	161218.3
4000	133673.5	91870.82	127019.67	88277.68
5000	224447.69	164111.31	192267.88	148115.05
6000	237767.77	159435.77	168363.92	148070.84
7000	260560.92	168956.34	177808.86	158614.17
8000	265793.84	166847.7	168884.05	153011.06
9000	303886.97	188299.2	189958.2	172639.58
10000	346562.38	212194.28	214706.69	194413.55
11000	373179.75	219682.05	218964.45	199212.72
12000	426877.84	246865.34	240659.2	218938.05
13000	460024.03	261111.06	252674.69	231567.02
14000	490758.03	277202.7	263584.7	240814.36
15000	539265.75	302483.7	283985.28	257098.27
16000	601870.94	348970.97	320324.28	301101.38
17000	594501.56	333207.12	308724.7	286071.03
18000	629849.56	357008.84	323525.97	298044.12
19000	662953.4	374124.7	335846.47	311004.56
20000	734278.8	423828.0	383689.38	352383.97
21000	802485.6	445912.4	386099.72	368419.4
22000	882684.94	499009.3	426354.38	403064.03
23000	845682.8	472099.25	406255.1	379969.53
24000	961817.2	536301.8	441534.53	421412.4
25000	990934.25	547466.0	460426.25	429222.97
26000	1285761.1	704860.25	582032.75	570426.56
27000	1271086.8	702656.4	567295.3	534660.6
28000	1368298.1	777874.75	614225.2	550373.2
29000	1210008.4	659150.25	529410.4	481545.9
30000	1379735.2	746770.4	610439.6	548874.75
31000	1346978.8	711760.4	577815.8	524738.0
32000	1471519.9	769724.06	621120.5	566954.94
33000	1436196.4	735968.0	572304.4	534747.0
34000	1547441.6	801877.5	609748.94	565493.44
35000	1539774.1	775233.8	592004.94	553812.8
36000	1582273.2	796556.4	611450.06	564946.94
37000	1667103.0	840966.8	643095.6	593540.5
38000	1715607.2	853211.2	646796.5	599866.5
39000	1778842.5	870242.56	660985.75	610543.8
40000	1840117.2	906374.8	670307.2	632614.2
41000	1949403.0	931693.44	685868.0	642159.44
42000	2018268.1	971739.7	696947.44	653460.8
43000	2077074.9	1023779.5	740924.0	695409.94
44000	2145046.5	1030053.8	735408.94	703296.25
45000	2211195.2	1076352.4	760425.4	726958.3
46000	2279519.0	1107675.2	777904.75	733758.6
47000	2704856.2	1288405.9	901343.5	846051.44
48000	2871638.5	1389053.1	959476.0	909176.94
49000	2681998.2	1248276.5	862525.4	818630.0
50000	3015295.8	1373631.4	974093.4	935129.5
