Size	P1	P2	P3	P4
1000	110986.09	110681.13	271083.0	143366.88
2000	141228.34	139042.22	232494.42	163665.44
3000	156872.19	108648.3	192109.28	140204.03
4000	145680.1	92699.5	136304.08	88445.08
5000	188082.34	114882.6	151625.31	106950.48
6000	211118.77	119387.3	134153.08	105351.36
7000	244137.92	138562.6	147058.81	124309.72
8000	273586.6	156426.16	160493.56	137280.8
9000	313608.7	176361.44	181763.44	153194.4
10000	346962.72	236680.14	189938.9	164629.84
11000	379680.38	205672.6	206582.4	174189.3
12000	426752.62	228786.7	224789.78	190626.48
13000	460970.6	242149.14	232150.69	212194.3
14000	495800.44	260137.92	248497.92	216342.77
15000	536481.94	315934.2	266960.94	227614.12
16000	589388.5	310172.38	283847.72	250308.56
17000	627750.0	317059.1	296959.9	250952.14
18000	650317.4	339506.44	299766.8	261727.95
19000	677061.44	356208.2	313830.9	278175.88
20000	751043.94	397212.4	336442.16	291205.16
21000	777545.25	426837.6	352200.9	305225.25
22000	818619.5	429704.2	359570.53	315008.47
23000	910455.25	458086.44	388961.03	342357.53
24000	934600.56	467878.56	391776.8	335597.8
25000	968457.2	485609.72	397108.4	352336.72
26000	1021439.2	524690.4	415038.88	366987.72
27000	1077976.2	531058.7	420622.56	380678.2
28000	1127055.0	555281.75	435836.16	382460.84
29000	1183072.1	573113.5	447391.6	394488.3
30000	1251232.8	606631.56	461108.38	408755.16
31000	1317022.8	623932.8	474415.97	424370.88
32000	1361521.5	643057.0	491283.2	432518.2
33000	1418222.9	660470.7	493132.88	441539.88
34000	1476907.5	683544.5	511858.62	455762.62
35000	1544906.8	721711.6	527061.75	476327.28
36000	1622298.8	729620.75	540089.25	478421.75
37000	1667309.8	765825.5	562511.8	496160.0
38000	1731983.9	771739.4	576031.4	511137.7
39000	1800775.4	807327.06	578274.2	541351.6
40000	1871429.8	834811.75	586539.5	537444.6
41000	1941699.9	848724.3	608101.94	555454.6
42000	2010863.9	882512.06	631448.75	552924.75
43000	2073806.4	930857.4	646798.2	575425.25
44000	2204131.0	948671.44	666765.1	597544.6
45000	2230304.0	967880.6	676936.06	617954.0
46000	2318522.8	1006224.06	693186.75	620263.75
47000	2405897.2	1027467.44	717261.44	653069.4
48000	2466121.2	1052254.4	711607.44	657133.2
49000	2543418.2	1072510.8	732101.7	665100.56
50000	2654510.2	1131683.2	750040.56	666870.94
